2.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.732050808000000188e+02,1.000000000000000000e+02,-1.000000000000000000e+02,3.732050808000000188e+02,1.000000000000000000e+02,1.000000000000000000e+02
1.960000000000000000e+02,1.020000000000000000e+02,2.000000000000000000e+00,3.715507240000000024e+02,1.038497559999999993e+02,-9.380459999999999354e+01,3.666568620000000465e+02,1.086266619999999961e+02,1.060784439999999904e+02
1.920000000000000000e+02,1.040000000000000000e+02,4.000000000000000000e+00,3.697481579999999894e+02,1.078560319999999990e+02,-8.760089200000000176e+01,3.598520619999999894e+02,1.172845080000000024e+02,1.119314899999999966e+02
1.880000000000000000e+02,1.060000000000000000e+02,6.000000000000000000e+00,3.677935260000000426e+02,1.120153080000000045e+02,-8.139624799999999993e+01,3.527956020000000308e+02,1.259618559999999974e+02,1.175523779999999903e+02
1.840000000000000000e+02,1.080000000000000000e+02,8.000000000000000000e+00,3.656832400000000121e+02,1.163237960000000015e+02,-7.519804800000000000e+01,3.454928439999999910e+02,1.346469940000000065e+02,1.229347579999999880e+02
1.800000000000000000e+02,1.100000000000000000e+02,1.000000000000000000e+01,3.634139840000000277e+02,1.207774459999999976e+02,-6.901365400000000250e+01,3.379495819999999640e+02,1.433281920000000014e+02,1.280726940000000127e+02
1.760000000000000000e+02,1.120000000000000000e+02,1.200000000000000000e+01,3.609827220000000239e+02,1.253719540000000023e+02,-6.285040800000000161e+01,3.301720300000000066e+02,1.519937299999999993e+02,1.329606820000000198e+02
1.720000000000000000e+02,1.140000000000000000e+02,1.400000000000000178e+01,3.583867020000000139e+02,1.301027679999999975e+02,-5.671561400000000219e+01,3.221668180000000348e+02,1.606319139999999948e+02,1.375936540000000150e+02
1.680000000000000000e+02,1.160000000000000000e+02,1.600000000000000000e+01,3.556234620000000177e+02,1.349650959999999884e+02,-5.061652599999999325e+01,3.139409699999999930e+02,1.692310999999999979e+02,1.419669920000000047e+02
1.640000000000000000e+02,1.180000000000000000e+02,1.800000000000000000e+01,3.526908320000000003e+02,1.399539179999999874e+02,-4.456033399999999745e+01,3.055019019999999728e+02,1.777797079999999994e+02,1.460765319999999861e+02
1.600000000000000000e+02,1.200000000000000000e+02,2.000000000000000000e+01,3.495869380000000319e+02,1.450639899999999898e+02,-3.855415599999999898e+01,2.968573999999999842e+02,1.862662520000000086e+02,1.499185740000000067e+02
1.560000000000000000e+02,1.220000000000000000e+02,2.200000000000000000e+01,3.463102099999999837e+02,1.502898559999999861e+02,-3.260501800000000827e+01,2.880156120000000328e+02,1.946793519999999944e+02,1.534898860000000127e+02
1.520000000000000000e+02,1.240000000000000000e+02,2.400000000000000000e+01,3.428593779999999924e+02,1.556258559999999989e+02,-2.671985000000000099e+01,2.789850319999999897e+02,2.030077560000000005e+02,1.567877100000000041e+02
1.480000000000000000e+02,1.260000000000000000e+02,2.600000000000000000e+01,3.392334779999999910e+02,1.610661400000000185e+02,-2.090546600000000410e+01,2.697744860000000244e+02,2.112403620000000046e+02,1.598097700000000145e+02
1.440000000000000000e+02,1.280000000000000000e+02,2.800000000000000355e+01,3.354318539999999871e+02,1.666046699999999987e+02,-1.516855999999999582e+01,2.603931159999999636e+02,2.193662360000000149e+02,1.625542739999999924e+02
1.400000000000000000e+02,1.300000000000000000e+02,3.000000000000000000e+01,3.314541580000000067e+02,1.722352400000000046e+02,-9.515686000000002309e+00,2.508503620000000183e+02,2.273746320000000196e+02,1.650199159999999949e+02
1.360000000000000000e+02,1.320000000000000000e+02,3.200000000000000000e+01,3.273003519999999753e+02,1.779514800000000037e+02,-3.953251999999999100e+00,2.411559480000000235e+02,2.352550080000000037e+02,1.672058779999999842e+02
1.319999999999999716e+02,1.340000000000000000e+02,3.400000000000000000e+01,3.229707059999999501e+02,1.837468700000000013e+02,1.512489999999999668e+00,2.313198639999999671e+02,2.429970480000000066e+02,1.691118339999999876e+02
1.280000000000000000e+02,1.360000000000000000e+02,3.600000000000000000e+01,3.184657960000000116e+02,1.896147520000000100e+02,6.875461999999998852e+00,2.213523480000000063e+02,2.505906799999999919e+02,1.707379499999999837e+02
1.240000000000000000e+02,1.380000000000000000e+02,3.800000000000000000e+01,3.137865100000000211e+02,1.955483399999999961e+02,1.212976399999999799e+01,2.112638680000000022e+02,2.580260900000000106e+02,1.720848799999999983e+02
1.200000000000000000e+02,1.400000000000000000e+02,4.000000000000000000e+01,3.089340379999999868e+02,2.015407339999999863e+02,1.726968600000000009e+01,2.010651060000000143e+02,2.652937420000000088e+02,1.731537699999999802e+02
1.160000000000000142e+02,1.420000000000000000e+02,4.200000000000000000e+01,3.039098759999999970e+02,2.075849279999999908e+02,2.228971999999999909e+01,1.907669380000000388e+02,2.723843960000000379e+02,1.739462540000000104e+02
1.120000000000000142e+02,1.440000000000000000e+02,4.400000000000000000e+01,2.987158220000000028e+02,2.136738300000000095e+02,2.718456799999999873e+01,1.803804120000000353e+02,2.792891200000000254e+02,1.744644519999999943e+02
1.080000000000000000e+02,1.460000000000000000e+02,4.600000000000000000e+01,2.933539700000000039e+02,2.198002639999999985e+02,3.194914999999999949e+01,1.699167319999999961e+02,2.859993100000000368e+02,1.747109619999999950e+02
1.040000000000000000e+02,1.480000000000000000e+02,4.800000000000000000e+01,2.878267079999999964e+02,2.259569920000000138e+02,3.657861799999999874e+01,1.593872379999999964e+02,2.925067020000000184e+02,1.746888599999999769e+02
